family	suite_harness	kani_harness	rc	wall_s	verdict	status	kaniraw_new
datetime-cmp	proofs::eq_time_ne	proofs::eq_time_ne	0	2	VERIFICATION:- SUCCESSFUL	RAN	1
datetime-cmp	proofs::eq_time_smaller	proofs::eq_time_smaller	0	2	VERIFICATION:- SUCCESSFUL	RAN	1
datetime-cmp	proofs::eq_timestamp_cmp	proofs::eq_timestamp_cmp	0	1	VERIFICATION:- SUCCESSFUL	RAN	1
datetime-cmp	proofs::eq_timestamp_cmp_date	proofs::eq_timestamp_cmp_date	0	7	VERIFICATION:- SUCCESSFUL	RAN	1
datetime-cmp	proofs::eq_timestamp_cmp_timestamptz	proofs::eq_timestamp_cmp_timestamptz	0	5	VERIFICATION:- SUCCESSFUL	RAN	1
datetime-cmp	proofs::eq_timestamp_eq	proofs::eq_timestamp_eq	0	1	VERIFICATION:- SUCCESSFUL	RAN	1
datetime-cmp	proofs::eq_timestamp_eq_date	proofs::eq_timestamp_eq_date	0	6	VERIFICATION:- SUCCESSFUL	RAN	1
datetime-cmp	proofs::eq_timestamp_eq_timestamptz	proofs::eq_timestamp_eq_timestamptz	0	5	VERIFICATION:- SUCCESSFUL	RAN	1
datetime-cmp	proofs::eq_timestamp_ge	proofs::eq_timestamp_ge	0	2	VERIFICATION:- SUCCESSFUL	RAN	1
datetime-cmp	proofs::eq_timestamp_ge_date	proofs::eq_timestamp_ge_date	0	4	VERIFICATION:- SUCCESSFUL	RAN	1
datetime-cmp	proofs::eq_timestamp_ge_timestamptz	proofs::eq_timestamp_ge_timestamptz	0	5	VERIFICATION:- SUCCESSFUL	RAN	1
datetime-cmp	proofs::eq_timestamp_gt	proofs::eq_timestamp_gt	0	1	VERIFICATION:- SUCCESSFUL	RAN	1
datetime-cmp	proofs::eq_timestamp_gt_date	proofs::eq_timestamp_gt_date	0	5	VERIFICATION:- SUCCESSFUL	RAN	1
datetime-cmp	proofs::eq_timestamp_gt_timestamptz	proofs::eq_timestamp_gt_timestamptz	0	5	VERIFICATION:- SUCCESSFUL	RAN	1
datetime-cmp	proofs::eq_timestamp_larger	proofs::eq_timestamp_larger	0	2	VERIFICATION:- SUCCESSFUL	RAN	1
datetime-cmp	proofs::eq_timestamp_le	proofs::eq_timestamp_le	0	1	VERIFICATION:- SUCCESSFUL	RAN	1
datetime-cmp	proofs::eq_timestamp_le_date	proofs::eq_timestamp_le_date	0	4	VERIFICATION:- SUCCESSFUL	RAN	1
datetime-cmp	proofs::eq_timestamp_le_timestamptz	proofs::eq_timestamp_le_timestamptz	0	5	VERIFICATION:- SUCCESSFUL	RAN	1
datetime-cmp	proofs::eq_timestamp_lt	proofs::eq_timestamp_lt	0	1	VERIFICATION:- SUCCESSFUL	RAN	1
datetime-cmp	proofs::eq_timestamp_lt_date	proofs::eq_timestamp_lt_date	0	7	VERIFICATION:- SUCCESSFUL	RAN	1
datetime-cmp	proofs::eq_timestamp_lt_timestamptz	proofs::eq_timestamp_lt_timestamptz	0	5	VERIFICATION:- SUCCESSFUL	RAN	1
datetime-cmp	proofs::eq_timestamp_ne	proofs::eq_timestamp_ne	0	1	VERIFICATION:- SUCCESSFUL	RAN	1
datetime-cmp	proofs::eq_timestamp_ne_date	proofs::eq_timestamp_ne_date	0	6	VERIFICATION:- SUCCESSFUL	RAN	1
datetime-cmp	proofs::eq_timestamp_ne_timestamptz	proofs::eq_timestamp_ne_timestamptz	0	5	VERIFICATION:- SUCCESSFUL	RAN	1
datetime-cmp	proofs::eq_timestamp_smaller	proofs::eq_timestamp_smaller	0	1	VERIFICATION:- SUCCESSFUL	RAN	1
datetime-cmp	proofs::eq_timestamptz_cmp_date	proofs::eq_timestamptz_cmp_date	0	8	VERIFICATION:- SUCCESSFUL	RAN	1
datetime-cmp	proofs::eq_timestamptz_cmp_timestamp	proofs::eq_timestamptz_cmp_timestamp	0	6	VERIFICATION:- SUCCESSFUL	RAN	1
datetime-cmp	proofs::eq_timestamptz_eq_date	proofs::eq_timestamptz_eq_date	0	8	VERIFICATION:- SUCCESSFUL	RAN	1
datetime-cmp	proofs::eq_timestamptz_eq_timestamp	proofs::eq_timestamptz_eq_timestamp	0	5	VERIFICATION:- SUCCESSFUL	RAN	1
datetime-cmp	proofs::eq_timestamptz_ge_date	proofs::eq_timestamptz_ge_date	0	7	VERIFICATION:- SUCCESSFUL	RAN	1
datetime-cmp	proofs::eq_timestamptz_ge_timestamp	proofs::eq_timestamptz_ge_timestamp	0	5	VERIFICATION:- SUCCESSFUL	RAN	1
datetime-cmp	proofs::eq_timestamptz_gt_date	proofs::eq_timestamptz_gt_date	0	8	VERIFICATION:- SUCCESSFUL	RAN	1
datetime-cmp	proofs::eq_timestamptz_gt_timestamp	proofs::eq_timestamptz_gt_timestamp	0	6	VERIFICATION:- SUCCESSFUL	RAN	1
datetime-cmp	proofs::eq_timestamptz_le_date	proofs::eq_timestamptz_le_date	0	8	VERIFICATION:- SUCCESSFUL	RAN	1
datetime-cmp	proofs::eq_timestamptz_le_timestamp	proofs::eq_timestamptz_le_timestamp	0	5	VERIFICATION:- SUCCESSFUL	RAN	1
datetime-cmp	proofs::eq_timestamptz_lt_date	proofs::eq_timestamptz_lt_date	0	7	VERIFICATION:- SUCCESSFUL	RAN	1
datetime-cmp	proofs::eq_timestamptz_lt_timestamp	proofs::eq_timestamptz_lt_timestamp	0	5	VERIFICATION:- SUCCESSFUL	RAN	1
datetime-cmp	proofs::eq_timestamptz_ne_date	proofs::eq_timestamptz_ne_date	0	10	VERIFICATION:- SUCCESSFUL	RAN	1
datetime-cmp	proofs::eq_timestamptz_ne_timestamp	proofs::eq_timestamptz_ne_timestamp	0	5	VERIFICATION:- SUCCESSFUL	RAN	1
datetime-cmp	proofs::eq_timetz_cmp	proofs::eq_timetz_cmp	0	6	VERIFICATION:- SUCCESSFUL	RAN	1
