Found 1244 mutants to test
ok       Unmutated baseline in 1s build + 6s test
TIMEOUT  crates/common/wchar/src/lib.rs:884:5: replace pg_euckr_verifychar -> i32 with 0 in 1s build + 300s test
TIMEOUT  crates/common/wchar/src/lib.rs:903:5: replace pg_euctw_verifychar -> i32 with 0 in 1s build + 300s test
TIMEOUT  crates/common/wchar/src/lib.rs:936:5: replace pg_johab_verifychar -> i32 with 0 in 1s build + 300s test
TIMEOUT  crates/common/wchar/src/lib.rs:956:5: replace pg_mule_verifychar -> i32 with 0 in 1s build + 300s test
TIMEOUT  crates/common/wchar/src/lib.rs:981:5: replace pg_sjis_verifychar -> i32 with 0 in 1s build + 300s test
TIMEOUT  crates/common/wchar/src/lib.rs:1007:5: replace pg_big5_verifychar -> i32 with 0 in 1s build + 300s test
TIMEOUT  crates/common/wchar/src/lib.rs:1027:5: replace pg_gbk_verifychar -> i32 with 0 in 1s build + 300s test
TIMEOUT  crates/common/wchar/src/lib.rs:1047:5: replace pg_uhc_verifychar -> i32 with 0 in 1s build + 300s test
MISSED   crates/common/wchar/src/lib.rs:1147:5: replace is_valid_ascii -> bool with false in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:1162:5: replace is_valid_ascii -> bool with true in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:1162:5: replace is_valid_ascii -> bool with false in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:1170:32: replace == with != in is_valid_ascii in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:1179:5: replace is_valid_ascii -> bool with true in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:1179:5: replace is_valid_ascii -> bool with false in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:1182:13: replace < with == in is_valid_ascii in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:1182:13: replace < with > in is_valid_ascii in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:1182:13: replace < with <= in is_valid_ascii in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:1183:47: replace + with - in is_valid_ascii in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:1183:47: replace + with * in is_valid_ascii in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:1184:18: replace &= with |= in is_valid_ascii in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:1185:21: replace |= with &= in is_valid_ascii in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:1186:11: replace += with -= in is_valid_ascii in 1s build + 6s test
TIMEOUT  crates/common/wchar/src/lib.rs:1067:5: replace pg_gb18030_verifychar -> i32 with 0 in 1s build + 300s test
MISSED   crates/common/wchar/src/lib.rs:1186:11: replace += with *= in is_valid_ascii in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:1188:46: replace && with || in is_valid_ascii in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:1188:41: replace == with != in is_valid_ascii in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:1188:17: replace & with | in is_valid_ascii in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:1188:17: replace & with ^ in is_valid_ascii in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:1188:58: replace == with != in is_valid_ascii in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:1201:22: replace << with >> in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:1202:22: replace << with >> in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:1203:22: replace << with >> in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:1204:22: replace << with >> in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:1205:22: replace << with >> in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:1206:22: replace << with >> in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:1207:22: replace << with >> in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:1208:22: replace << with >> in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:1209:76: replace | with & in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:1209:76: replace | with ^ in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:1209:61: replace | with & in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:1209:61: replace | with ^ in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:1209:46: replace | with & in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:1209:46: replace | with ^ in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:1209:31: replace | with & in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:1209:31: replace | with ^ in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:1209:23: replace << with >> in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:1209:53: replace << with >> in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:1209:68: replace << with >> in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:1209:83: replace << with >> in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:1210:76: replace | with & in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:1210:76: replace | with ^ in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:1210:61: replace | with & in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:1210:61: replace | with ^ in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:1210:46: replace | with & in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:1210:46: replace | with ^ in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:1210:31: replace | with & in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:1210:31: replace | with ^ in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:1210:23: replace << with >> in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:1210:53: replace << with >> in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:1210:68: replace << with >> in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:1210:83: replace << with >> in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:1211:76: replace | with & in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:1211:76: replace | with ^ in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:1211:61: replace | with & in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:1211:61: replace | with ^ in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:1211:46: replace | with & in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:1211:46: replace | with ^ in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:1211:31: replace | with & in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:1211:31: replace | with ^ in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:1211:23: replace << with >> in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:1211:53: replace << with >> in 1s build + 6s test
TIMEOUT  crates/common/wchar/src/lib.rs:1095:5: replace pg_utf8_verifychar -> i32 with 0 in 1s build + 300s test
MISSED   crates/common/wchar/src/lib.rs:1211:68: replace << with >> in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:1211:83: replace << with >> in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:1225:62: replace >> with << in utf8_advance in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:1225:38: replace >> with << in utf8_advance in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:1225:69: replace & with | in utf8_advance in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:1237:12: replace >= with < in pg_utf8_verifystr in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:1240:22: replace != with == in pg_utf8_verifystr in 1s build + 6s test
TIMEOUT  crates/common/wchar/src/lib.rs:1226:15: replace += with *= in utf8_advance in 1s build + 300s test
TIMEOUT  crates/common/wchar/src/lib.rs:1228:11: replace += with *= in utf8_advance in 1s build + 300s test
TIMEOUT  crates/common/wchar/src/lib.rs:1252:21: replace -= with /= in pg_utf8_verifystr in 1s build + 300s test
MISSED   crates/common/wchar/src/lib.rs:1389:5: replace is_valid_unicode_codepoint -> bool with true in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:1389:11: replace && with || in is_valid_unicode_codepoint in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:1389:5: replace is_valid_unicode_codepoint -> bool with false in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:1389:7: replace > with == in is_valid_unicode_codepoint in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:1389:7: replace > with < in is_valid_unicode_codepoint in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:1389:16: replace <= with > in is_valid_unicode_codepoint in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:1389:7: replace > with >= in is_valid_unicode_codepoint in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:1393:5: replace is_utf16_surrogate_first -> bool with true in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:1393:5: replace is_utf16_surrogate_first -> bool with false in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:1393:7: replace >= with < in is_utf16_surrogate_first in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:1393:17: replace && with || in is_utf16_surrogate_first in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:1393:22: replace <= with > in is_utf16_surrogate_first in 1s build + 6s test
MISSED   crates/common/wchar/src/lib.rs:1397:5: replace is_utf16_surrogate_second -> bool with true in 1s build + 6s test
