family	harness	tier	expected	outcome	wall_s	timeout_s	verdict	log
gist-geo	proofs::eq_gist_circle_consistent	unmeasured	unmeasured	unmeasured-timeout	602	600	NO-VERDICT	gist-geo--proofs__eq_gist_circle_consistent_.log
gist-geo	proofs::eq_gist_circle_distance_strips	unmeasured	unmeasured	unmeasured-timeout	602	600	NO-VERDICT	gist-geo--proofs__eq_gist_circle_distance_strips_.log
gist-geo	proofs::eq_gist_point_distance_xstrip	unmeasured	unmeasured	unmeasured-timeout	602	600	NO-VERDICT	gist-geo--proofs__eq_gist_point_distance_xstrip_.log
gist-geo	proofs::eq_gist_point_distance_ystrip	unmeasured	unmeasured	unmeasured-timeout	602	600	NO-VERDICT	gist-geo--proofs__eq_gist_point_distance_ystrip_.log
gist-geo	proofs::eq_gist_poly_consistent	unmeasured	unmeasured	unmeasured-timeout	602	600	NO-VERDICT	gist-geo--proofs__eq_gist_poly_consistent_.log
gist-geo	proofs::eq_gist_poly_distance_strips	unmeasured	unmeasured	unmeasured-timeout	602	600	NO-VERDICT	gist-geo--proofs__eq_gist_poly_distance_strips_.log
jsonb-gin	proofs::eq_ginarray_consistent_contained	unmeasured	unmeasured	unmeasured-green	20	600	VERIFICATION:- SUCCESSFUL	jsonb-gin--proofs__eq_ginarray_consistent_contained_.log
jsonb-gin	proofs::eq_ginarray_consistent_contains	unmeasured	unmeasured	unmeasured-green	20	600	VERIFICATION:- SUCCESSFUL	jsonb-gin--proofs__eq_ginarray_consistent_contains_.log
gist-geo	proofs::grid_gist_box_distance_vertex	unmeasured	unmeasured	unmeasured-timeout	602	600	NO-VERDICT	gist-geo--proofs__grid_gist_box_distance_vertex_.log
jsonb-gin	proofs::eq_ginarray_consistent_equal	unmeasured	unmeasured	unmeasured-green	30	600	VERIFICATION:- SUCCESSFUL	jsonb-gin--proofs__eq_ginarray_consistent_equal_.log
jsonb-gin	proofs::eq_ginarray_consistent_overlap	unmeasured	unmeasured	unmeasured-green	20	600	VERIFICATION:- SUCCESSFUL	jsonb-gin--proofs__eq_ginarray_consistent_overlap_.log
jsonb-gin	proofs::eq_ginarray_tri_contained	unmeasured	unmeasured	unmeasured-green	20	600	VERIFICATION:- SUCCESSFUL	jsonb-gin--proofs__eq_ginarray_tri_contained_.log
gist-geo	proofs::grid_gist_point_distance_vertex	unmeasured	unmeasured	unmeasured-timeout	602	600	NO-VERDICT	gist-geo--proofs__grid_gist_point_distance_vertex_.log
jsonb-gin	proofs::eq_ginarray_tri_contains	unmeasured	unmeasured	unmeasured-green	20	600	VERIFICATION:- SUCCESSFUL	jsonb-gin--proofs__eq_ginarray_tri_contains_.log
jsonb-gin	proofs::eq_ginarray_tri_equal	unmeasured	unmeasured	unmeasured-green	31	600	VERIFICATION:- SUCCESSFUL	jsonb-gin--proofs__eq_ginarray_tri_equal_.log
jsonb-gin	proofs::eq_ginarray_tri_overlap	unmeasured	unmeasured	unmeasured-green	31	600	VERIFICATION:- SUCCESSFUL	jsonb-gin--proofs__eq_ginarray_tri_overlap_.log
gist-geo	proofs::probe_gist_box_penalty_full	unmeasured	unmeasured	unmeasured-timeout	602	600	NO-VERDICT	gist-geo--proofs__probe_gist_box_penalty_full_.log
int-arith	proofs::cover_recv_both_arms	unmeasured	unmeasured	unmeasured-timeout	602	600	NO-VERDICT	int-arith--proofs__cover_recv_both_arms_.log
jsonb-gin	proofs::control_extract_hash_seam_skew	unmeasured	unmeasured	unmeasured-rss-kill	452	600	NO-VERDICT	jsonb-gin--proofs__control_extract_hash_seam_skew_.log
jsonb-gin	proofs::eq_extract_jsonb_arr_n1	unmeasured	unmeasured	unmeasured-rss-kill	391	600	NO-VERDICT	jsonb-gin--proofs__eq_extract_jsonb_arr_n1_.log
jsonb-gin	proofs::eq_jsp_nokeys	unmeasured	unmeasured	unmeasured-green	10	600	VERIFICATION:- SUCCESSFUL	jsonb-gin--proofs__eq_jsp_nokeys_.log
jsonb-gin	proofs::eq_extract_jsonb_path_arr_n1	unmeasured	unmeasured	unmeasured-rss-kill	381	600	NO-VERDICT	jsonb-gin--proofs__eq_extract_jsonb_path_arr_n1_.log
