file	sloc	kani	fuzz	regress	any
crates/_support/types/types_core/src/fmgr.rs	24	0	0	4	4
crates/_support/types/types_core/src/geo.rs	84	38	8	84	84
crates/_support/types/types_core/src/init.rs	13	0	0	0	0
crates/_support/types/types_core/src/instrument.rs	50	0	0	42	42
crates/_support/types/types_core/src/keywords.rs	0	0	0	0	0
crates/_support/types/types_core/src/lib.rs	0	0	0	0	0
crates/_support/types/types_core/src/primitive.rs	18	2	0	14	14
crates/_support/types/types_core/src/xact.rs	61	6	0	47	48
crates/_support/types/types_dest/src/lib.rs	0	0	0	0	0
crates/_support/types/types_error/src/error.rs	22	0	0	20	20
crates/_support/types/types_error/src/lib.rs	0	0	0	0	0
crates/_support/types/types_error/src/pg_error.rs	270	27	51	190	190
crates/_support/types/types_guc/src/lib.rs	1	0	0	0	0
crates/_support/types/types_hnsw/src/lib.rs	41	0	0	0	0
crates/_support/types/types_nbtree/src/dedup.rs	128	0	0	123	123
crates/_support/types/types_nbtree/src/genam.rs	0	0	0	0	0
crates/_support/types/types_nbtree/src/lib.rs	0	0	0	0	0
crates/_support/types/types_nbtree/src/page.rs	61	0	0	40	40
crates/_support/types/types_nbtree/src/state.rs	52	0	0	50	50
crates/_support/types/types_nbtree/src/tests.rs	0	0	0	0	0
crates/_support/types/types_nbtree/src/vacuum.rs	0	0	0	0	0
crates/_support/types/types_nbtree/src/xlog.rs	0	0	0	0	0
crates/_support/types/types_resowner/src/lib.rs	13	0	0	6	6
crates/_support/types/types_scan/src/lib.rs	0	0	0	0	0
crates/_support/types/types_scan/src/scankey.rs	9	0	0	9	9
crates/_support/types/types_scan/src/sdir.rs	15	0	0	6	6
crates/_support/types/types_slot/src/lib.rs	86	0	0	46	46
crates/_support/types/types_spgist/src/lib.rs	210	0	0	200	200
crates/_support/types/types_spgist/src/state.rs	79	0	0	76	76
crates/_support/types/types_spgist/src/xlog.rs	143	0	0	69	69
crates/_support/types/types_startup/src/lib.rs	57	0	0	50	50
crates/_support/types/types_storage/src/aio.rs	0	0	0	0	0
crates/_support/types/types_storage/src/buf.rs	6	0	0	2	2
crates/_support/types/types_storage/src/bufpage.rs	627	0	0	580	580
crates/_support/types/types_storage/src/file.rs	3	0	0	0	0
crates/_support/types/types_storage/src/fileset.rs	0	0	0	0	0
crates/_support/types/types_storage/src/ilist.rs	11	0	0	7	7
crates/_support/types/types_storage/src/inval.rs	0	0	0	0	0
crates/_support/types/types_storage/src/large_object.rs	0	0	0	0	0
crates/_support/types/types_storage/src/latch.rs	54	0	0	38	38
crates/_support/types/types_storage/src/lib.rs	0	0	0	0	0
crates/_support/types/types_storage/src/lock.rs	116	0	0	91	91
crates/_support/types/types_storage/src/multixact.rs	2	0	0	2	2
crates/_support/types/types_storage/src/relfilelocator.rs	0	0	0	0	0
crates/_support/types/types_storage/src/sinval.rs	78	0	0	59	59
crates/_support/types/types_storage/src/smgr.rs	10	0	0	4	4
crates/_support/types/types_storage/src/storage.rs	193	0	0	137	137
crates/_support/types/types_storage/src/sync.rs	16	0	0	16	16
crates/_support/types/types_storage/src/waiteventset.rs	9	0	0	4	4
crates/_support/types/types_storage/src/writechunk.rs	22	0	0	10	10
crates/_support/types/types_trigger/src/lib.rs	29	0	0	10	10
crates/_support/types/types_trigger_call/src/lib.rs	43	0	0	39	39
crates/_support/types/types_tuple/src/getattr.rs	272	0	0	251	251
crates/_support/types/types_tuple/src/htup.rs	162	0	0	131	131
crates/_support/types/types_tuple/src/itemptr.rs	96	0	0	83	83
crates/_support/types/types_tuple/src/lib.rs	0	0	0	0	0
crates/_support/types/types_tuple/src/tupdesc.rs	43	15	0	41	41
crates/_support/types/types_tuple/src/tupmacs.rs	75	0	0	71	71
crates/_support/types/types_tuple/src/varatt.rs	55	19	0	42	47
crates/backend/access/brin/brin/src/lib.rs	501	0	0	365	365
crates/backend/access/brin/brin_bloom/src/builtins.rs	40	7	0	7	14
crates/backend/access/brin/brin_bloom/src/lib.rs	191	11	0	152	152
crates/backend/access/brin/brin_bloom/src/tests.rs	0	0	0	0	0
crates/backend/access/brin/brin_build/src/lib.rs	370	0	0	297	297
crates/backend/access/brin/brin_funcs/src/lib.rs	127	0	0	89	89
crates/backend/access/brin/brin_inclusion/src/lib.rs	227	11	0	164	164
crates/backend/access/brin/brin_minmax/src/lib.rs	138	0	0	104	104
crates/backend/access/brin/brin_minmax_multi/src/builtins.rs	219	62	0	131	139
crates/backend/access/brin/brin_minmax_multi/src/lib.rs	240	11	0	182	182
crates/backend/access/brin/brin_minmax_multi/src/qsort.rs	110	0	0	109	109
crates/backend/access/brin/brin_minmax_multi/src/ranges.rs	618	0	0	497	497
crates/backend/access/brin/brin_pageops/src/lib.rs	658	0	0	475	475
crates/backend/access/brin/brin_tuple/src/lib.rs	248	0	0	233	233
crates/backend/access/brin/brin_validate/src/lib.rs	151	0	0	64	64
