family	harness	tier	expected	outcome	wall_s	timeout_s	verdict	log
numeric-probe	proofs::eq_in_range_spot_carry	unmeasured	unmeasured	unmeasured-green	50	600	VERIFICATION:- SUCCESSFUL	numeric-probe--proofs__eq_in_range_spot_carry_.log
numeric-probe	proofs::eq_in_range_spot_zero_off_sub	unmeasured	unmeasured	unmeasured-green	50	600	VERIFICATION:- SUCCESSFUL	numeric-probe--proofs__eq_in_range_spot_zero_off_sub_.log
oracle-compat	proofs::control_dobyteatrim_short_set	unmeasured	unmeasured	unmeasured-failed	20	600	VERIFICATION:- FAILED	oracle-compat--proofs__control_dobyteatrim_short_set_.log
oracle-compat	proofs::eq_anychar_typmodout_band	unmeasured	unmeasured	unmeasured-green	70	600	VERIFICATION:- SUCCESSFUL	oracle-compat--proofs__eq_anychar_typmodout_band_.log
numeric-probe	proofs::cover_numeric_trim_scale_regimes	unmeasured	unmeasured	unmeasured-green	150	600	VERIFICATION:- SUCCESSFUL	numeric-probe--proofs__cover_numeric_trim_scale_regimes_.log
oracle-compat	proofs::cover_oracle_regimes	unmeasured	unmeasured	unmeasured-rss-kill	261	600	NO-VERDICT	oracle-compat--proofs__cover_oracle_regimes_.log
numeric-probe	proofs::eq_numeric_send_snd2	unmeasured	unmeasured	unmeasured-rss-kill	311	600	NO-VERDICT	numeric-probe--proofs__eq_numeric_send_snd2_.log
oracle-compat	proofs::eq_lpad_latin1	unmeasured	unmeasured	unmeasured-rss-kill	60	600	NO-VERDICT	oracle-compat--proofs__eq_lpad_latin1_.log
oracle-compat	proofs::eq_lpad_err_plane	unmeasured	unmeasured	unmeasured-green	100	600	VERIFICATION:- SUCCESSFUL	oracle-compat--proofs__eq_lpad_err_plane_.log
numeric-probe	proofs::eq_numeric_send_snd3	unmeasured	unmeasured	unmeasured-rss-kill	391	600	NO-VERDICT	numeric-probe--proofs__eq_numeric_send_snd3_.log
numeric-probe	proofs::eq_numeric_trim_scale_nd4	unmeasured	unmeasured	unmeasured-green	381	600	VERIFICATION:- SUCCESSFUL	numeric-probe--proofs__eq_numeric_trim_scale_nd4_.log
oracle-compat	proofs::eq_name_bpchar	unmeasured	unmeasured	unmeasured-rss-kill	50	600	NO-VERDICT	oracle-compat--proofs__eq_name_bpchar_.log
oracle-compat	proofs::eq_repeat_small	unmeasured	unmeasured	unmeasured-rss-kill	40	600	NO-VERDICT	oracle-compat--proofs__eq_repeat_small_.log
oracle-compat	proofs::eq_repeat_err_plane	unmeasured	unmeasured	unmeasured-green	80	600	VERIFICATION:- SUCCESSFUL	oracle-compat--proofs__eq_repeat_err_plane_.log
oracle-compat	proofs::spot_anychar_typmodout_wide	unmeasured	unmeasured	unmeasured-green	10	600	VERIFICATION:- SUCCESSFUL	oracle-compat--proofs__spot_anychar_typmodout_wide_.log
oracle-compat	proofs::eq_rpad_latin1	unmeasured	unmeasured	unmeasured-rss-kill	60	600	NO-VERDICT	oracle-compat--proofs__eq_rpad_latin1_.log
numeric-probe	proofs::eq_numeric_send_snd4	unmeasured	unmeasured	unmeasured-rss-kill	481	600	NO-VERDICT	numeric-probe--proofs__eq_numeric_send_snd4_.log
jsonb-gin	proofs::eq_jsp_tri_pred_or2	unmeasured	unmeasured	unmeasured-timeout	601	600	NO-VERDICT	jsonb-gin--proofs__eq_jsp_tri_pred_or2_.log
oracle-compat	proofs::eq_rpad_err_plane	unmeasured	unmeasured	unmeasured-green	120	600	VERIFICATION:- SUCCESSFUL	oracle-compat--proofs__eq_rpad_err_plane_.log
numeric-arith	proofs::eq_mul_var_nd4	unmeasured	unmeasured	unmeasured-timeout	602	600	NO-VERDICT	numeric-arith--proofs__eq_mul_var_nd4_.log
numeric-arith	proofs::eq_mul_var_nd3	unmeasured	unmeasured	unmeasured-timeout	602	600	NO-VERDICT	numeric-arith--proofs__eq_mul_var_nd3_.log
numeric-arith	proofs::eq_mul_var_nd2	unmeasured	unmeasured	unmeasured-timeout	602	600	NO-VERDICT	numeric-arith--proofs__eq_mul_var_nd2_.log
numeric-arith	proofs::eq_add_var_nd4	unmeasured	unmeasured	unmeasured-timeout	602	600	NO-VERDICT	numeric-arith--proofs__eq_add_var_nd4_.log
numeric-arith	proofs::eq_sub_var_nd4	unmeasured	unmeasured	unmeasured-timeout	602	600	NO-VERDICT	numeric-arith--proofs__eq_sub_var_nd4_.log
oracle-compat	proofs::spot_fc_btrim_utf8	unmeasured	unmeasured	unmeasured-green	100	600	VERIFICATION:- SUCCESSFUL	oracle-compat--proofs__spot_fc_btrim_utf8_.log
numeric-probe	proofs::eq_int8_numeric_nd5	unmeasured	unmeasured	unmeasured-timeout	602	600	NO-VERDICT	numeric-probe--proofs__eq_int8_numeric_nd5_.log
numeric-probe	proofs::eq_int8_numeric_nd4	unmeasured	unmeasured	unmeasured-timeout	602	600	NO-VERDICT	numeric-probe--proofs__eq_int8_numeric_nd4_.log
oracle-compat	proofs::eq_text_reverse_latin1	unmeasured	unmeasured	unmeasured-green	191	600	VERIFICATION:- SUCCESSFUL	oracle-compat--proofs__eq_text_reverse_latin1_.log
oracle-compat	proofs::eq_dobyteatrim_window	unmeasured	unmeasured	unmeasured-timeout	602	600	NO-VERDICT	oracle-compat--proofs__eq_dobyteatrim_window_.log
